CANDIDATE_ID,COMMITTEE_ID,COMMITTEE_TYPE
H6FL13205,C00590067,H
H6FL11126,C00410761,H
H6FL14112,C00609297,H
H0FL12101,C00459461,H
H6FL15150,C00607218,H
H8FL16022,C00432906,H
H4FL19058,C00541359,H
H2FL14160,C00506998,H
H6FL18121,C00581330,H
H4FL14091,C00620211,H
H4FL19082,C00555763,H
H2FL23021,C00269837,H
H2FL14053,C00494856,H
H4FL22110,C00564948,H
H0FL19080,C00469163,H
H4FL22086,C00553388,H
H6FL23089,C00615765,H
H6FL23097,C00620278,H
H2FL25018,C00376087,H
H6FL25027,C00578252,H
H4FL26038,C00546846,H
H6FL26033,C00614800,H
H2GA02031,C00266940,H
H2GA09150,C00502039,H
H0GA07125,C00544445,H
H6GA05217,C00202416,H
H2GA12121,C00504019,H
H6GA04129,C00418293,H
H0GA09030,C00462556,H
H4GA01039,C00543967,H
H2GA13012,C00369801,H
H0GA08099,C00482737,H
H4GA06087,C00386755,H
H4GA11061,C00543892,H
H0GA07133,C00482307,H
H6GA09243,C00611848,H
H6GA12031,C00614255,H
H0GA13032,C00476457,H
H6GA03113,C00607838,H
H6GA03105,C00607572,H
H4GA02060,C00542480,H
H4GA12051,C00547158,H
H6GA06124,C00619270,H
H0GA08065,C00611582,H
H6GA11082,C00613786,H
H2GA09176,C00612952,H
H6GA14011,C00582585,H
H4GA11111,C00623454,H
H6GA14029,C00611608,H
H6GA03154,C00614685,H
H6GA03139,C00614792,H
H0GA13099,C00483362,H
H6GA03097,C00607549,H
H2GA11198,C00520064,H
H6GA05290,C00599498,H
H6GA09235,C00609149,H
H6GA11074,C00613216,H
H4GA09065,C00559815,H
H6GA03121,C00609537,H
H6GA10159,C00605626,H
H2HI02508,C00497396,H
H2HI02110,C00468413,H
H6HI02384,C00619700,H
H6HI01196,C00610485,H
H6HI02376,C00619809,H
H0ID01253,C00470948,H
H8ID02064,C00331397,H
H6ID01250,C00611293,H
H6ID01243,C00582510,H
H6ID01276,C00613125,H
H6ID02183,C00607366,H
H6IL02199,C00620237,H
H4IL07037,C00172619,H
H8IL09067,C00327023,H
H6IL18088,C00575050,H
H2IL01042,C00257121,H
H0IL05096,C00457556,H
H2IL02172,C00539866,H
H4IL03077,C00405431,H
H0IL11052,C00458877,H
H0IL14080,C00467522,H
H2IL08039,C00254581,H
H6IL06117,C00410969,H
H8IL14067,C00435099,H
H2IL20042,C00258855,H
H4IL12060,C00546499,H
H2IL13120,C00521948,H
H6IL13121,C00587287,H
H6IL12099,C00576710,H
H2IL17071,C00498568,H
H0IL10302,C00465971,H
H6IL06166,C00610923,H
H6IL08170,C00589036,H
H2IL10068,C00495952,H
H6IL15084,C00589739,H
H6IL09145,C00591149,H
H6IL08147,C00575092,H
H6IL10135,C00574434,H
H6IL06158,C00590166,H
H6IL01167,C00592725,H
H6IL07289,C00581454,H
H6IL04146,C00581694,H
H6IL14129,C00615260,H
H0IL08033,C00583567,H
H6IL01159,C00588384,H
H6IL08162,C00575472,H
H6IL11117,C00575639,H
H6IL11133,C00586065,H
H6IL13139,C00608455,H
H4IL02269,C00540831,H
H6IL11141,C00590257,H
H6IL08188,C00584797,H
H2IL12130,C00527952,H
H6IL05168,C00582155,H
H2IL01141,C00501338,H
H6IL04138,C00577767,H
H6IL16082,C00593467,H
H4IL09074,C00545533,H
H6IL10150,C00592139,H
H6IL18161,C00618728,H
H2IN05082,C00500207,H
H0IN02125,C00460667,H
H0IN04170,C00476192,H
H0IN02190,C00468579,H
H4IN01012,C00166504,H
H0IN08114,C00468256,H
H8IN07184,C00442921,H
H6IN05216,C00584946,H
H6IN03229,C00577999,H
H2IN09167,C00583427,H
H4IN04172,C00553438,H
H6IN03252,C00585810,H
H6IN09176,C00590463,H
H6IN02155,C00597641,H
H6IN08228,C00592279,H
H6IN03237,C00578328,H
H8IN07259,C00568774,H
H6IN09143,C00581298,H
H6IN08244,C00609156,H
H6IN09135,C00581249,H
H6IN05240,C00609735,H
H4IN05112,C00596866,H
H8IN07150,C00466805,H
H6IN09150,C00582676,H
H6IN03245,C00582924,H
H2IN03160,C00560235,H
H2IN07096,C00610998,H
H6IN03211,C00577619,H
H6IN09200,C00609131,H
H6IN03286,C00618405,H
H6IN04169,C00617076,H
H6IN05257,C00625608,H
H6IN06214,C00616557,H
H6IN07386,C00610915,H
H2IN07088,C00551671,H
H6IN09218,C00615856,H
H2IA05072,C00373563,H
H6IA02146,C00414318,H
H4IA01077,C00571562,H
H4IA03115,C00545616,H
H6IA02161,C00613539,H
H2IA01055,C00543926,H
H4IA04113,C00546549,H
H6IA04134,C00584284,H
H4IA01069,C00541938,H
H6IA03243,C00597096,H
H6IA03235,C00580282,H
H6KS01179,C00576173,H
H0KS04051,C00460402,H
H8KS02090,C00433730,H
H6KS01146,C00413096,H
H0KS03137,C00472365,H
H6KS03233,C00617225,H
H6KS03241,C00617761,H
H6KS03217,C00602532,H
H6KS04165,C00588459,H
H4KS03170,C00561639,H
H4KS01059,C00552810,H
H6KS04173,C00617746,H
H6KY06127,C00607291,H
H0KY05015,C00116632,H
H0KY06104,C00467571,H
H6KY01110,C00588764,H
H4KY06163,C00561548,H
H6KY03173,C00628230,H
H6KY01128,C00589325,H
H6KY05137,C00603092,H
H6KY01102,C00588368,H
H6KY06135,C00616474,H
H4KY01073,C00565663,H
H8KY02031,C00445023,H
H6KY03124,C00419630,H
H2KY04121,C00509729,H
H0LA01087,C00394957,H
H6LA01209,C00623157,H
H4LA05098,C00549113,H
H8LA02054,C00451336,H
H6LA02215,C00615153,H
H6LA03148,C00617662,H
H6LA03130,C00611145,H
H6LA03163,C00624254,H
H6LA03155,C00622829,H
H6LA03122,C00609354,H
H6LA03098,C00602854,H
H6LA03106,C00608349,H
H6LA03114,C00609180,H
H6LA03171,C00625863,H
H6LA04138,C00608695,H
H6LA04153,C00621979,H
H6LA04120,C00607002,H
H6LA04146,C00609339,H
H6LA04112,C00607374,H
H6LA04096,C00603514,H
H4LA05221,C00563940,H
H4LA06153,C00558486,H
H4LA06062,C00542472,H
H8ME01120,C00433391,H
H4ME02234,C00518654,H
H4ME02200,C00546077,H
H6ME01207,C00592469,H
H6ME01215,C00603738,H
H6ME01231,C00618827,H
H6ME02130,C00626606,H
H6MD07160,C00310318,H
H6MD03292,C00415182,H
H2MD02160,C00376673,H
H2MD05155,C00140715,H
H8MD01094,C00435974,H
H2MD06195,C00508416,H
H6MD04209,C00574640,H
H6MD08457,C00575126,H
H2MD04232,C00505065,H
H6MD08549,C00607952,H
H6MD08481,C00578856,H
H6MD01221,C00606004,H
H6MD02211,C00607507,H
H6MD03441,C00573386,H
H4MD05144,C00574939,H
H6MD04217,C00574343,H
H6MD08564,C00614362,H
H6MD05206,C00574913,H
H6MD06212,C00582296,H
H6MD06220,C00580902,H
H6MD06246,C00610139,H
H6MD01213,C00576751,H
H6MD06204,C00581611,H
H4MD07074,C00565200,H
H6MD07434,C00587139,H
H6MD08507,C00583781,H
H6MD08473,C00577650,H
H4MD08171,C00601021,H
H6MD04282,C00615757,H
H4MD01127,C00612671,H
H6MD08465,C00576850,H
H2MD08084,C00591792,H
H6MD06238,C00577882,H
H6MD01239,C00613406,H
H4MD04113,C00550004,H
H6MD08531,C00589366,H
H6MD08291,C00305656,H
H6MD06188,C00571661,H
H6MD02203,C00590976,H
H6MD08515,C00583575,H
H6MD08523,C00588715,H
H4MD06209,C00553982,H
H6MD04258,C00579466,H
H6MD08556,C00608950,H
H4MD07066,C00566653,H
H6MD08598,C00620732,H
H8MA02041,C00226522,H
H8MA08071,C00336388,H
H0MA10082,C00479063,H
H4MA05084,C00541888,H
H4MA06090,C00547240,H
H2MA09072,C00366948,H
H4MA03022,C00285171,H
H8MA05143,C00433136,H
H4MA09052,C00550715,H
H6MA09156,C00599951,H
H6MA08299,C00616771,H
H4MA03097,C00564450,H
H0MA09027,C00612382,H
H4MA01059,C00565085,H
H6MA01096,C00619338,H
H6MA09180,C00622605,H
H6MA09164,C00613711,H
H0MI02094,C00459297,H
H2MI05119,C00499947,H
H4MI04126,C00561530,H
H4MI08135,C00561001,H
H0MI03126,C00476291,H
H2MI14111,C00552588,H
H4MI12079,C00558213,H
H4MI11097,C00548941,H
H6MI04113,C00200584,H
H2MI17023,C00156612,H
H4MI07103,C00390724,H
H6MI01226,C00614214,H
H6MI01200,C00581231,H
H6MI01028,C00409797,H
H4MI04118,C00561423,H
H4MI11089,C00548925,H
H6MI08247,C00583294,H
H8MI01107,C00435420,H
H6MI02182,C00610287,H
H6MI07223,C00572859,H
H0MI01104,C00481499,H
H6MI10193,C00574616,H
H4MI06105,C00540856,H
H6MI10227,C00615195,H
H6MI03172,C00614503,H
H6MI13213,C00587352,H
H6MI12264,C00611269,H
H6MI10201,C00576330,H
H6MI01218,C00585638,H
H6MI14211,C00615781,H
H6MI10219,C00609172,H
H6MI10235,C00614412,H
H6MI14203,C00614313,H
H6MI14195,C00585752,H
H2MI04237,C00621771,H
H6MI01234,C00617910,H
H8MI05108,C00620039,H
H6MI06159,C00619262,H
H6MI08262,C00621250,H
H4MI08101,C00554303,H
H6MI09195,C00617332,H
H6MI10243,C00619841,H
H2MI11133,C00504035,H
H6MI11183,C00621193,H
H6MI12272,C00587014,H
H6MI13239,C00619502,H
H6MN05183,C00422410,H
H0MN04049,C00354688,H
H2MN07014,C00253187,H
H6MN02131,C00575209,H
H4MN06087,C00545749,H
H6MN01174,C00409409,H
H6MN02149,C00589234,H
H0MN01045,C00550707,H
H6MN07304,C00610071,H
H6MN02198,C00602847,H
H6MN07288,C00607127,H
H6MN04236,C00607846,H
H6MN06165,C00608422,H
H6MN02164,C00588624,H
H0MN04163,C00486894,H
H6MN02214,C00618553,H
H6MN06157,C00587907,H
H4MN02136,C00548727,H
H8MN03077,C00439661,H
H8MN03069,C00614982,H
H2MN08111,C00499053,H
H4MN08083,C00546739,H
H0MS04120,C00477323,H
H6MS01131,C00573980,H
H8MS03067,C00441295,H
H6MS02162,C00606871,H
H6MS03178,C00603407,H
H4MS02068,C00279851,H
H6MS04192,C00604694,H
H8MO09153,C00447748,H
H2MO02102,C00495846,H
H0MO04086,C00464602,H
H0MO07113,C00460063,H
H4MO08162,C00541862,H
H0MO06073,C00359034,H
H0MO01066,C00346080,H
H4MO05234,C00395848,H
H6MO02301,C00577460,H
H6MO05189,C00563668,H
H4MO04138,C00565523,H
H6MO01253,C00589101,H
H6MO08126,C00614677,H
H6MO04224,C00592865,H
H6MO08142,C00616672,H
H6MO07268,C00617373,H
H2MO08067,C00610683,H
H8MO02158,C00621516,H
H4MO07131,C00560623,H
H0MO06172,C00615443,H
H6MO06211,C00603464,H
H6MO01261,C00617365,H
H6MO07219,C00615179,H
H6MO05205,C00576033,H
H6MO07201,C00614644,H
H6MO03325,C00615146,H
H4MT01041,C00550871,H
H6MT01095,C00591289,H
H6NE03115,C00412890,H
H4NE01064,C00395467,H
H6NE02125,C00575167,H
H4NE02054,C00557181,H
H4NE02120,C00565598,H
H4NV04017,C00550608,H
H8NV03036,C00450577,H
H6NV03139,C00606939,H
H2NV00050,C00502773,H
H6NV02248,C00591701,H
H2NV04045,C00582320,H
H6NV02255,C00602995,H
H6NV04012,C00577270,H
H6NV03063,C00580852,H
H6NV04020,C00578476,H
H6NV03105,C00590943,H
H4NV02136,C00564740,H
H6NV03071,C00581983,H
H6NV03089,C00583005,H
H6NV01208,C00585844,H
H6NV03014,C00417410,H
H6NV01224,C00613323,H
H6NV03121,C00605675,H
H6NV01216,C00590851,H
H4NV01153,C00559492,H
H6NV03154,C00611681,H
H6NV03147,C00607465,H
H6NV04053,C00614446,H
H6NV03113,C00610063,H
H6NV04046,C00611715,H
H6NV01232,C00612374,H
H2NV02395,C00496760,H
H0NH02181,C00462861,H
H6NH01230,C00419978,H
H0NH01217,C00461350,H
H0NH01225,C00473538,H
H4NH02258,C00565119,H
H6NH02162,C00611780,H
H6NH02196,C00614586,H
H6NH01289,C00577056,H
H6NH01271,C00572339,H
H2NJ10154,C00519355,H
H4NJ12149,C00558437,H
H4NJ01084,C00558320,H
H8NJ03073,C00226928,H
H6NJ08118,C00313510,H
H4NJ03130,C00557520,H
H6NJ07151,C00595694,H
H6NJ13191,C00410753,H
H2NJ05014,C00148684,H
H6NJ05171,C00573949,H
H8NJ05052,C00386110,H
H8NJ04014,C00096412,H
H6NJ04158,C00607424,H
H2NJ02037,C00269340,H
H4NJ02157,C00608968,H
H4NJ03163,C00611418,H
H6NJ12136,C00444224,H
H6NJ01188,C00569335,H
H6NJ01204,C00590810,H
H6NJ07169,C00600775,H
H6NJ06229,C00611061,H
H4NJ11109,C00557710,H
H6NJ09231,C00612879,H
H6NJ11120,C00609164,H
H6NJ07177,C00610048,H
H6NJ08159,C00601583,H
H2NJ05261,C00602508,H
H4NJ01142,C00566000,H
H6NJ02194,C00616847,H
H6NJ02186,C00610493,H
H6NJ03150,C00624742,H
H4NJ10085,C00549683,H
H8NM03196,C00443689,H
H8NM01257,C00501254,H
H6NM02101,C00607762,H
H2NM02126,C00463836,H
H4NM01124,C00553420,H
H6NM03067,C00586560,H
H6NM03075,C00594515,H
H2NY17071,C00290825,H
H2NY13096,C00518365,H
H6NY13105,C00579433,H
H2NY14037,C00273169,H
H6NY19243,C00608174,H
H6NY19169,C00580415,H
H2NY00010,C00271312,H
H4NY22051,C00561183,H
H0NY18065,C00240986,H
H6NY22114,C00608828,H
H6NY03247,C00607200,H
H8NY06048,C00329375,H
H6NY24177,C00588483,H
H6NY01126,C00578401,H
H6NY01118,C00577080,H
H6NY22098,C00600833,H
H6NY19235,C00603431,H
H6NY19193,C00582858,H
H2NY15109,C00505560,H
H6NY07149,C00592519,H
H6NY03221,C00607044,H
H6NY03254,C00607879,H
H6NY24169,C00580951,H
H6NY18203,C00602656,H
H6NY03205,C00603142,H
H6NY10127,C00614016,H
H4NY15071,C00471961,H
H6NY18195,C00600130,H
H6NY24185,C00590091,H
H6NY13162,C00593509,H
H6NY13113,C00580290,H
H6NY12131,C00609115,H
H6NY05069,C00603282,H
H6NY15134,C00614065,H
H6NY03213,C00605477,H
H6NY13097,C00576223,H
H4NY10098,C00562637,H
H6NY22148,C00612358,H
H8NY01148,C00552547,H
H2NY03089,C00272211,H
H6NY02124,C00578260,H
H6NY03197,C00603001,H
H4NY04075,C00555813,H
H6NY03171,C00585463,H
H6NY05077,C00612739,H
H6NY05085,C00627729,H
H2NY06116,C00516666,H
H2NY10092,C00503052,H
H4NY11138,C00398941,H
H6NY10119,C00609461,H
H6NY11174,C00571869,H
H6NY11216,C00611111,H
H6NY13154,C00609669,H
H4NY13076,C00564955,H
H6NY13170,C00618769,H
H8NY07046,C00338954,H
H6NY14244,C00579599,H
H8NY19058,C00236513,H
H6NY16132,C00611905,H
H8NY20056,C00219881,H
H2NY22139,C00512426,H
H8NY21203,C00450049,H
H6NY20209,C00613174,H
H4NY21079,C00547893,H
H6NY21132,C00580746,H
H4NY21111,C00563551,H
H6NY22130,C00610642,H
H0NY29054,C00464032,H
H6NY23518,C00580829,H
H4NY24073,C00556365,H
H6NY03031,C00213611,H
H4NY29098,C00555219,H
H4NY27076,C00401034,H
H8NY29032,C00520379,H
H4NC05146,C00386748,H
H2NC13110,C00499236,H
H4NC06052,C00543231,H
H2NC08185,C00504522,H
H2NC01081,C00305052,H
H4NC10047,C00393629,H
H4NC12100,C00546358,H
H6NC04151,C00591875,H
H6NC11198,C00610832,H
H4NC11086,C00567826,H
H2NC09134,C00514513,H
H6NC09200,C00613281,H
H0NC08163,C00515213,H
H4NC12084,C00545756,H
H6NC09192,C00613232,H
H6NC05117,C00574590,H
H6NC13046,C00603506,H
H0NC02059,C00471896,H
H4NC05245,C00560433,H
H6NC02148,C00614628,H
H6NC03161,C00613950,H
H6NC13129,C00614776,H
H6NC12055,C00612036,H
H6NC03153,C00617175,H
H6NC03138,C00573766,H
H6NC06107,C00589515,H
H4NC06136,C00556944,H
H6NC13160,C00617704,H
H6NC04169,C00597658,H
H6NC05125,C00613976,H
H6NC02130,C00602706,H
H6NC06131,C00606848,H
H4NC03059,C00581314,H
H4NC12142,C00558908,H
H6NC13087,C00613737,H
H6NC13095,C00613307,H
H6NC13137,C00613968,H
H6NC13145,C00613984,H
H6NC03179,C00614487,H
H0NC10177,C00478933,H
H6NC12030,C00603746,H
H6NC13210,C00615831,H
H4NC13058,C00561340,H
H6NC12063,C00613372,H
H6NC13061,C00611327,H
H0NC01036,C00602979,H
H6NC02122,C00589275,H
H6NC09176,C00583369,H
H4NC05260,C00562181,H
H6NC13103,C00613729,H
H4NC12068,C00545228,H
H6NC13111,C00613836,H
H4NC01046,C00401190,H
H6NC01108,C00616235,H
H6NC04037,C00195628,H
H6NC06099,C00589473,H
H2NC07096,C00501643,H
H4NC07100,C00562314,H
H6NC08145,C00600700,H
H6NC09184,C00590307,H
H6NC10158,C00573592,H
H2NC11080,C00503094,H
H0ND01026,C00504704,H
H6ND01015,C00614891,H
H4ND01028,C00564609,H
H0OH12062,C00347492,H
H8OH05036,C00438697,H
H6OH04082,C00416594,H
H8OH11141,C00454694,H
H2OH03067,C00373001,H
H0OH16097,C00466359,H
H8OH15076,C00441352,H
H0OH06189,C00476820,H
H2OH02085,C00497818,H
H8OH01043,C00301838,H
H2OH17109,C00373464,H
H0OH18077,C00466516,H
