STATE_ABBREVIATION,D,INCUMBENT,CANDIDATE_NAME,CANDIDATE_ID,PARTY,PRIMARY_VOTES,PRIMARY_%,GENERAL_VOTES,GENERAL_%,GE_WINNER_INDICATOR,COMMITTEE_ID,COMMITTEE_TYPE
IN,06,1,"Messer, Luke ",H0IN02125,R,91828.0,0.7766369525871547,204920.0,0.691398012719942,1,C00460667,H
CA,47,1,"Lowenthal, Alan",H2CA00104,D,90595.0,0.6611711987855965,154759.0,0.6372144539420591,1,C00498212,H
PA,13,1,"Boyle, Brendan F.",H4PA13199,D,90512.0,0.9985988371451583,239316.0,0.999010657349313,1,C00543363,H
MD,02,1,"Ruppersberger, C.A. Dutch",H2MD02160,D,89820.0,1.0,192183.0,0.6209868165955796,1,C00376673,H
PA,05,1,"Thompson, Glenn GT",H8PA05071,R,89000.0,0.9925392276037427,206761.0,0.6707988489152616,1,C00444620,H
PA,06,1,"Costello, Ryan",H0PA06076,R,88349.0,0.9985532963369012,207469.0,0.5719243789213686,1,C00554899,H
PA,18,1,"Murphy, Tim ",H2PA18143,R,88266.0,0.993483032247172,293684.0,0.9839352182230575,1,C00372201,H
OH,13,1,"Ryan, Tim ",H2OH17109,D,88154.0,0.8928614836122027,208610.0,0.6772963987480682,1,C00373464,H
MS,03,1,"Harper, Gregg",H8MS03067,R,87997.0,0.891045698026469,209490.0,0.6620107759642276,1,C00441295,H
TX,12,1,"Granger, Kay ",H6TX12060,R,87329.0,1.0,196482.0,0.6940006711053812,1,C00310532,H
WA,06,1,"Kilmer, Derek",H2WA06129,D,87311.0,0.58369600823623,201718.0,0.6153053069541292,1,C00514893,H
PA,12,1,"Rothfus, Keith ",H0PA04220,R,87270.0,0.9938956335557935,221851.0,0.6170875601160458,1,C00467530,H
AL,04,1,"Aderholt, Robert",H6AL04098,R,86660.0,0.8117576529656413,235925.0,0.9853034529994488,1,C00313247,H
CA,50,1,"Hunter, Duncan",H8CA52052,R,86534.0,0.5645153924939167,179937.0,0.6345126470909751,1,C00433524,H
CA,22,1,"Nunes, Devin G.",H8CA20059,R,86479.0,0.6380612982720203,158755.0,0.6756509452431415,1,C00370056,H
AR,02,1,"Hill, French",H4AR02141,R,86474.0,0.8454221049029672,176472.0,0.5834479475243335,1,C00551275,H
CA,38,1,"Sánchez, Linda T.",H2CA39078,D,86396.0,0.7002090998978815,163590.0,0.7047829945630164,1,C00384057,H
PA,07,1,"Meehan, Patrick L.",H0PA07082,R,86178.0,0.7578219806890729,225678.0,,1,C00466870,H
CA,01,1,"La Malfa, Doug",H2CA02142,R,86136.0,0.40790657586922136,185448.0,0.5905310219210537,1,C00509422,H
IN,04,1,"Rokita, Todd  #",H0IN04170,R,86051.0,0.6925578063758038,193412.0,0.645925312422771,1,C00476192,H
OR,02,1,"Walden, Greg",H6OR02116,R,85039.0,0.7994190418891479,272952.0,0.716900553922766,1,C00333427,H
CA,39,1,"Royce, Ed",H6CA39020,R,85035.0,0.604994486144214,150777.0,0.572304293696101,1,C00200865,H
CA,49,1,"Issa, Darrell",H0CA48024,R,84626.0,0.5082001669459107,155888.0,0.5026132095242701,1,C00350520,H
MO,03,1,"Luetkemeyer, Blaine",H8MO09153,R,84274.0,0.7346444200359155,249865.0,0.6783671297440088,1,C00447748,H
TX,25,1,"Williams, Roger",H2TX33040,R,83965.0,1.0,180988.0,0.5834633586506596,1,C00498121,H
MD,05,1,"Hoyer, Steny H.",H2MD05155,D,83787.0,0.7588646058816604,242989.0,0.6737828380019633,1,C00140715,H
IL,06,1,"Roskam, Peter J.",H6IL06117,R,83344.0,0.6877816105233623,208555.0,0.5922401503921669,1,C00410969,H
IL,11,1,"Foster, Bill",H8IL14067,D,82984.0,1.0,166578.0,0.6044786680843188,1,C00435099,H
WA,07,0,"Jayapal, Pramila",H6WA07458,D,82753.0,0.4211284306092019,212010.0,0.5597564646181955,1,C00605592,H
OH,07,1,"Gibbs, Bob ",H0OH18077,R,80853.0,0.7465237382970472,198221.0,0.6403459181464887,1,C00466516,H
TX,36,1,"Babin, Brian ",H6TX02079,R,80649.0,1.0,193675.0,0.8861208336192895,1,C00553859,H
OH,09,1,"Kaptur, Marcy",H2OH09031,D,80065.0,1.0,193966.0,0.6868533063265321,1,C00154625,H
HI,02,1,"Gabbard, Tulsi",H2HI02508,D,80026.0,0.8453242349660396,170848.0,0.8115677668205742,1,C00497396,H
OH,14,1,"Joyce, David P.",H2OH14064,R,79919.0,0.6449085319109447,219191.0,0.6257790441061013,1,C00527457,H
OH,03,1,"Beatty, Joyce",H2OH03125,D,79893.0,1.0,199791.0,0.6857398807623794,1,C00507368,H
CA,07,0,"Jones, Scott R.",H6CA07126,R,79640.0,0.4599586476153073,145168.0,0.4882862822526665,0,C00592113,H
MD,01,1,"Harris, Andy",H8MD01094,R,79497.0,0.7838394793926248,242574.0,0.6699144151981375,1,C00435974,H
AL,02,1,"Roby, Martha",H0AL02087,R,78689.0,0.6637061403508772,134886.0,0.4876854771064125,1,C00462143,H
NE,03,1,"Smith, Adrian",H6NE03115,R,78154.0,1.0,226720.0,1.0,1,C00412890,H
WA,01,1,"DelBene, Suzan",H0WA08046,D,77756.0,0.5354543263436973,193619.0,0.5541502813410495,1,C00459099,H
AL,03,1,"Rogers, Mike",H2AL03032,R,77432.0,0.7598374973014347,192164.0,0.6693184351315203,1,C00367862,H
IN,02,1,"Walorski, Jackie",H0IN02190,R,77400.0,0.697781343815079,164355.0,0.5925756335697314,1,C00468579,H
TX,04,1,"Ratcliffe, John",H4TX04153,R,77254.0,0.6803762351822169,216643.0,0.8798757209000081,1,C00554113,H
IN,01,1,"Visclosky, Peter J.",H4IN01012,D,77095.0,0.7996577118556166,207515.0,0.8151172702026451,1,C00166504,H
MO,02,1,"Wagner, Ann ",H2MO02102,R,77084.0,0.825779082348656,241954.0,0.5854254577832837,1,C00495846,H
NM,03,1,"Lujan, Ben R",H8NM03196,D,76789.0,1.0,170612.0,0.6241704531319738,1,C00443689,H
TX,10,1,"McCaul, Michael T.",H4TX10093,R,76646.0,1.0,179221.0,0.5733237364043506,1,C00392688,H
IL,15,1,"Shimkus, John M.",H2IL20042,R,76547.0,0.6037210549561487,274554.0,1.0,1,C00258855,H
CA,36,1,"Ruiz, Raul",H2CA36439,D,76213.0,0.5847873793410371,144348.0,0.6205393414926682,1,C00502575,H
CA,23,1,"McCarthy, Kevin",H6CA22125,R,76166.0,0.5546041038635735,167116.0,0.6917511093449897,1,C00420935,H
PA,15,1,"Dent, Charles W.",H4PA15087,R,75821.0,0.9984987160071114,190618.0,0.5834149506623246,1,C00386847,H
CA,49,0,"Applegate, Doug",H6CA49102,D,75808.0,0.45524588490340556,154267.0,0.49738679047572987,0,C00581595,H
PA,02,0,"Evans, Dwight",H6PA02171,D,75515.0,0.4224922651717328,322514.0,0.9014209690763142,1,C00591065,H
TX,02,1,"Poe, Ted",H4TX02108,R,75404.0,1.0,168692.0,0.6062910622636898,1,C00392670,H
NJ,10,1,"Payne, Donald M., Jr.",H2NJ10154,D,75175.0,1.0,190856.0,0.8567362897325056,1,C00519355,H
IL,12,1,"Bost, Michael ",H4IL12060,R,74454.0,1.0,169976.0,0.543050843125603,1,C00546499,H
PA,08,0,"Fitzpatrick, Brian",H6PA08277,R,74150.0,0.7826435726122246,207263.0,0.5441944851415998,1,C00607416,H
HI,01,0,"Hanabusa, Colleen Wakako",H2HI02110,D,74022.0,0.8037569900646072,145417.0,0.7186161091536245,1,C00468413,H
MO,04,1,"Hartzler, Vicky",H0MO04086,R,73853.0,0.7248306997742664,225348.0,0.6782809706411745,1,C00464602,H
PA,17,1,"Cartwright, Matt",H2PA17079,D,73648.0,0.9906647655430308,157734.0,0.5374772975864737,1,C00509968,H
TX,26,1,"Burgess, Michael C.",H2TX26093,R,73607.0,0.7936064690026954,211730.0,0.6635639964899085,1,C00372532,H
WA,08,1,"Reichert, Dave",H4WA08071,R,73600.0,0.5681774319306453,193145.0,0.6019509762672776,1,C00397737,H
TX,22,1,"Olson, Pete",H8TX22107,R,73375.0,1.0,181864.0,0.5952157306827517,1,C00437913,H
PA,12,0,"McClelland, Erin R.",H4PA12043,D,73326.0,0.9852599330852021,137353.0,0.38205294384347716,0,C00543918,H
TX,05,1,"Hensarling, Jeb",H2TX05121,R,73143.0,1.0,155469.0,0.8060609202851587,1,C00370650,H
IN,08,1,"Bucshon, Larry D.",H0IN08114,R,72889.0,0.6504636033447263,187702.0,0.6368975918944871,1,C00468256,H
OR,05,1,"Schrader, Kurt",H8OR05107,D,72634.0,0.7165448321445835,199505.0,0.5347111292172776,1,C00446906,H
CA,34,1,"Becerra, Xavier",H2CA30143,D,71982.0,0.7758102238556632,122842.0,0.7718339239488301,1,C00264101,H
WA,02,1,"Larsen, Rick",H0WA02080,D,71955.0,0.5181352746754229,208314.0,0.6401625036876782,1,C00345546,H
CA,09,1,"McNerney, Jerry",H4CA11081,D,71634.0,0.552701628770051,133163.0,0.5735952273265706,1,C00398644,H
WI,02,1,"Pocan, Mark",H2WI02124,D,71461.0,0.9945028946782454,273537.0,0.6871753002059992,1,C00502179,H
IL,13,1,"Davis, Rodney",H2IL13120,R,71447.0,0.7695049974151301,187583.0,0.5966494271519177,1,C00521948,H
IL,13,0,"Wicklund, Mark D ",H6IL13121,D,71430.0,1.0,126811.0,0.40335057284808234,0,C00587287,H
AL,01,1,"Byrne, Bradley",H4AL01123,R,71310.0,0.6011177705282856,208083.0,0.9638246724071646,1,C00545673,H
IL,12,0,"Baricevic, Charles ""C.J."" ",H6IL12099,D,70580.0,1.0,124246.0,0.3969495402585287,0,C00576710,H
IL,17,1,"Bustos, Cheri ",H2IL17071,D,70319.0,1.0,173125.0,0.6030801064556133,1,C00498568,H
IN,07,1,"Carson, André D.",H8IN07184,D,70006.0,0.856373934211653,158739.0,0.5997619677334038,1,C00442921,H
TX,21,1,"Smith, Lamar",H6TX21012,R,69866.0,0.6008066249881758,202967.0,0.5700823804668694,1,C00197160,H
CA,51,1,"Vargas, Juan ",H2CA50026,D,69522.0,0.6682430289224026,145162.0,0.7275415488863495,1,C00408161,H
AZ,02,1,"McSally, Martha",H2AZ08102,R,69378.0,1.0,179806.0,0.5695849264601066,1,C00512236,H
MD,06,1,"Delaney, John K.",H2MD06195,D,69343.0,0.8491672789615479,185770.0,0.5595937018974435,1,C00508416,H
NM,01,1,"Lujan Grisham, Michelle",H8NM01257,D,69216.0,1.0,181088.0,0.6514730165811049,1,C00501254,H
TX,24,1,"Marchant, Kenny E.",H4TX24094,R,67412.0,1.0,154845.0,0.5617755364884721,1,C00393348,H
VT,00,1,"Welch, Peter",H6VT00160,D,67285.0,0.9948987135886441,264414.0,0.8953049767382015,1,C00413179,H
WA,09,1,"Smith, Adam",H6WA09025,D,67100.0,0.5627825445151767,205165.0,0.7288743152315246,1,C00304709,H
MO,07,1,"Long, Billy ",H0MO07113,R,67012.0,0.6237097569829022,228692.0,0.6753906446115999,1,C00460063,H
NJ,12,1,"Coleman, Bonnie Watson",H4NJ12149,D,66479.0,0.9362711959889584,181430.0,0.628581525392019,1,C00558437,H
CA,42,1,"Calvert, Ken",H2CA37023,R,66418.0,0.5494403679591009,149547.0,0.588221180320647,1,C00257337,H
CA,24,0,"Carbajal, Salud",H6CA24303,D,66402.0,0.3193847219416467,166034.0,0.5341908665632822,1,C00576041,H
CA,45,1,"Walters, Mimi",H4CA45097,R,65773.0,0.4087843926935531,182618.0,0.5855975167468871,1,C00546853,H
TX,03,1,"Johnson, Sam",H2TX03118,R,65451.0,0.7462715497582778,193684.0,0.6120195786606503,1,C00250720,H
MO,08,1,"Smith, Jason ",H4MO08162,R,65450.0,0.6750345510427195,229792.0,0.7439740215170735,1,C00541862,H
CA,35,1,"Torres, Norma J.",H4CA35031,D,65226.0,0.7556739848230319,124044.0,0.7239091232718423,1,C00557652,H
TX,08,1,"Brady, Kevin",H6TX08100,R,65059.0,0.5342426382433608,236379.0,1.0,1,C00311043,H
AZ,04,1,"Gosar, Paul",H0AZ01259,R,64947.0,0.7141898876157382,203487.0,0.714533522015008,1,C00461806,H
CA,25,1,"Knight, Steve",H4CA25123,R,63769.0,0.48257934646062567,138755.0,0.5313006153292413,1,C00554014,H
CA,41,1,"Takano, Mark",H2CA43245,D,63706.0,0.64546394050538,128164.0,0.6495137414290275,1,C00498667,H
KY,06,0,"Kemper, Nancy Jo",H6KY06127,D,63440.0,0.8008887542291572,128728.0,0.3891097159542601,0,C00607291,H
AZ,06,1,"Schweikert, David",H4AZ06045,R,63378.0,0.8031376325827176,201578.0,0.6213029058943916,1,C00440727,H
TX,31,1,"Carter, John ",H2TX31044,R,62817.0,0.712833199051326,166060.0,0.583510197197352,1,C00371203,H
MO,06,1,"Graves, Sam",H0MO06073,R,62764.0,0.7620689655172413,238388.0,0.6802456312563491,1,C00359034,H
PA,06,0,"Parrish, Mike",H4PA06052,D,62732.0,0.9977573839326898,155000.0,0.4272844556671702,0,C00553990,H
NE,01,0,"Fortenberry, Jeff",H4NE01064,R,62704.0,1.0,189771.0,0.6945263835923261,1,C00395467,H
IL,10,1,"Dold, Robert ",H0IL10302,R,61968.0,1.0,135535.0,0.47390522944376845,0,C00465971,H
PA,02,1,"Fattah, Chaka",H2PA02055,D,61518.0,0.34418167475117073,,,0,C00254441,H
CA,10,1,"Denham, Jeff",H0CA19173,R,61290.0,0.47730299278087984,124671.0,0.5170045740873597,1,C00473272,H
CA,26,0,"Dagnesses, Rafael A.",H4CA26139,R,61219.0,0.3597816121676579,111059.0,0.39620487536879206,0,C00583120,H
WV,01,1,"McKinley, David B.",H0WV01072,R,61217.0,1.0,163469.0,0.6897338852250815,1,C00473132,H
WV,01,0,"Manypenny, Mike ",H6WV01087,D,60911.0,1.0,73534.0,0.31026611477491844,0,C00579474,H
MI,02,1,"Huizenga, Bill",H0MI02094,R,60844.0,1.0,212508.0,0.6262613164843456,1,C00459297,H
CA,40,1,"Roybal-Allard, Lucille",H2CA33048,D,60691.0,0.7630153002853874,106554.0,0.7137048969503741,1,C00259143,H
CA,04,0,"Derlet, Robert W.",H6CA04156,D,60574.0,0.274512825160881,130845.0,0.37280114423126237,0,C00588970,H
TX,17,1,"Flores, Bill",H0TX17104,R,60502.0,0.7241672352089243,149417.0,0.6080585037114208,1,C00472241,H
KS,01,0,"Marshall, Roger",H6KS01179,R,59889.0,0.5655988515951117,169992.0,0.6589577898290894,1,C00576173,H
CA,01,0,"Reed, Jim",H6CA01194,D,59665.0,0.2825502211530265,128588.0,0.4094689780789464,0,C00609958,H
PA,15,0,"Daugherty, Rick ",H2PA15099,D,59475.0,0.9979529170931423,124129.0,0.3799154036385005,0,C00506162,H
MI,05,1,"Kildee, Daniel T.",H2MI05119,D,59090.0,1.0,195279.0,0.6116019555828383,1,C00499947,H
AZ,08,1,"Franks, Trent",H4AZ04024,R,59042.0,0.7106302055750806,204942.0,0.6854912349358299,1,C00367110,H
WA,10,1,"Heck, Denny",H0WA03161,D,58865.0,0.46533964695373087,170460.0,0.5866521661320742,1,C00472159,H
CO,04,1,"Buck, Ken",H4CO04090,R,58848.0,1.0,248230.0,0.6354525324151702,1,C00461368,H
CA,29,1,"Cardenas, Tony",H2CA28113,D,58616.0,0.6136515912897822,128407.0,0.747317022069094,1,C00498873,H
PA,11,0,"Marsicano, Mike",H6PA11073,D,58117.0,0.9973571759537334,113800.0,0.36306094191662996,0,C00580258,H
MI,04,1,"Moolenaar, John ",H4MI04126,R,57886.0,1.0,194572.0,0.6162197427719944,1,C00561530,H
TX,14,1,"Weber, Randy",H2TX14149,R,57869.0,0.8404229054417125,160631.0,0.6185609488418661,1,C00502229,H
WI,01,1,"Ryan, Paul",H8WI01024,R,57364.0,0.8405843822809665,230072.0,0.64947141102909,1,C00330894,H
CA,33,0,"Wright, Kenneth W.",H6CA33106,R,56976.0,0.3084635832579896,110822.0,0.3356015250485284,0,C00608430,H
KS,04,1,"Pompeo, Michael",H0KS04051,R,56808.0,1.0,166998.0,0.6067116922372671,1,C00460402,H
