STATE_ABBREVIATION,STATE,D,CANDIDATE_ID,INCUMBENT,CANDIDATE_NAME_(FIRST),CANDIDATE_NAME_(LAST),CANDIDATE_NAME,TOTAL_VOTES,PARTY,PRIMARY_VOTES,PRIMARY_%,RUNOFF_VOTES,RUNOFF_%,GENERAL_VOTES,GENERAL_%,GE_RUNOFF_ELECTION_VOTES_(LA),GE_RUNOFF_ELECTION_%_(LA),"COMBINED_GE_PARTY_TOTALS_(CT,_NY,_SC)","COMBINED_%_(CT,_NY,_SC)",GE_WINNER_INDICATOR,FOOTNOTES
DC,District of Columbia,H,,0,,,,Total State Votes:,,94432.0,,,,300906.0,,,,,,0,
FL,Florida,01,,0,,,,Party Votes:,R,98803.0,,,,,,,,,,0,
FL,Florida,01,,0,,,,District Votes:,,98803.0,,,,369186.0,,,,,,0,
FL,Florida,02,,0,,,,Party Votes:,R,81890.0,,,,,,,,,,0,
FL,Florida,02,,0,,,,Party Votes:,D,60097.0,,,,,,,,,,0,
FL,Florida,02,,0,,,,District Votes:,,141987.0,,,,343362.0,,,,,,0,
FL,Florida,03,,0,,,,District Votes:,,,,,,342700.0,,,,,,0,
FL,Florida,04,,0,,,,Party Votes:,R,100325.0,,,,,,,,,,0,
FL,Florida,04,,0,,,,District Votes:,,100325.0,,,,409662.0,,,,,,0,
FL,Florida,05,,0,,,,Party Votes:,D,82589.0,,,,,,,,,,0,
FL,Florida,05,,0,,,,District Votes:,,82589.0,,,,302874.0,,,,,,0,
FL,Florida,06,,0,,,,Party Votes:,R,67684.0,,,,,,,,,,0,
FL,Florida,06,,0,,,,Party Votes:,D,43818.0,,,,,,,,,,0,
FL,Florida,06,,0,,,,District Votes:,,111502.0,,,,364570.0,,,,,,0,
FL,Florida,07,,0,,,,Party Votes:,R,49935.0,,,,,,,,,,0,
FL,Florida,07,,0,,,,District Votes:,,49935.0,,,,353655.0,,,,,,0,
FL,Florida,08,,0,,,,District Votes:,,,,,,390561.0,,,,,,0,
FL,Florida,09,,0,,,,Party Votes:,D,39978.0,,,,,,,,,,0,
FL,Florida,09,,0,,,,Party Votes:,R,33636.0,,,,,,,,,,0,
FL,Florida,09,,0,,,,District Votes:,,73614.0,,,,339761.0,,,,,,0,
FL,Florida,10,,0,,,,Party Votes:,D,40719.0,,,,,,,,,,0,
FL,Florida,10,,0,,,,District Votes:,,40719.0,,,,305989.0,,,,,,0,
FL,Florida,11,,0,,,,Party Votes:,R,88401.0,,,,,,,,,,0,
FL,Florida,11,,0,,,,District Votes:,,88401.0,,,,394719.0,,,,,,0,
FL,Florida,12,,0,,,,District Votes:,,,,,,369669.0,,,,,,0,
FL,Florida,13,,0,,,,Party Votes:,R,54597.0,,,,,,,,,,0,
FL,Florida,13,,0,,,,District Votes:,,54597.0,,,,355842.0,,,,,,0,
FL,Florida,14,,0,,,,District Votes:,,,,,,316877.0,,,,,,0,
FL,Florida,15,,0,,,,District Votes:,,,,,,318474.0,,,,,,0,
FL,Florida,16,,0,,,,Party Votes:,R,66606.0,,,,,,,,,,0,
FL,Florida,16,,0,,,,Party Votes:,D,41169.0,,,,,,,,,,0,
FL,Florida,16,,0,,,,District Votes:,,107775.0,,,,385916.0,,,,,,0,
FL,Florida,17,,0,,,,District Votes:,,,,,,338675.0,,,,,,0,
FL,Florida,18,,0,,,,Party Votes:,R,63452.0,,,,,,,,,,0,
FL,Florida,18,,0,,,,Party Votes:,D,46152.0,,,,,,,,,,0,
FL,Florida,18,,0,,,,District Votes:,,109604.0,,,,375918.0,,,,,,0,
FL,Florida,19,,0,,,,Party Votes:,R,88797.0,,,,,,,,,,0,
FL,Florida,19,,0,,,,District Votes:,,88797.0,,,,363166.0,,,,,,0,
FL,Florida,20,,0,,,,District Votes:,,,,,,277560.0,,,,,,0,
FL,Florida,21,,0,,,,District Votes:,,,,,,335861.0,,,,,,0,
FL,Florida,22,,0,,,,District Votes:,,,,,,337850.0,,,,,,0,
FL,Florida,23,,0,,,,Party Votes:,D,50716.0,,,,,,,,,,0,
FL,Florida,23,,0,,,,Party Votes:,R,18360.0,,,,,,,,,,0,
FL,Florida,23,,0,,,,District Votes:,,69076.0,,,,323120.0,,,,,,0,
FL,Florida,24,,0,,,,Party Votes:,D,64845.0,,,,,,,,,,0,
FL,Florida,24,,0,,,,District Votes:,,64845.0,,,,,,,,,,0,
FL,Florida,25,,0,,,,District Votes:,,,,,,253240.0,,,,,,0,
FL,Florida,26,,0,,,,Party Votes:,D,28942.0,,,,,,,,,,0,
FL,Florida,26,,0,,,,District Votes:,,28942.0,,,,280542.0,,,,,,0,
FL,Florida,27,,0,,,,Party Votes:,R,37880.0,,,,,,,,,,0,
FL,Florida,27,,0,,,,Party Votes:,D,28963.0,,,,,,,,,,0,
FL,Florida,27,,0,,,,District Votes:,,66843.0,,,,287677.0,,,,,,0,
FL,Florida,H,,0,,,,Total State Votes:,,1378354.0,,,,8837426.0,,,,,,0,
GA,Georgia,01,,0,,,,Party Votes:,R,37758.0,,,,,,,,,,0,
GA,Georgia,01,,0,,,,District Votes:,,37758.0,,,,211112.0,,,,,,0,
GA,Georgia,02,,0,,,,Party Votes:,D,55880.0,,,,,,,,,,0,
GA,Georgia,02,,0,,,,Party Votes:,R,16405.0,,,,,,,,,,0,
GA,Georgia,02,,0,,,,District Votes:,,72285.0,,,,242599.0,,,,,,0,
GA,Georgia,03,,0,,,,Party Votes:,R,57869.0,,42334.0,,,,,,,,0,
GA,Georgia,03,,0,,,,Party Votes:,D,12939.0,,,,,,,,,,0,
GA,Georgia,03,,0,,,,District Votes:,,70808.0,,42334.0,,303187.0,,,,,,0,
GA,Georgia,04,,0,,,,Party Votes:,D,44509.0,,,,,,,,,,0,
GA,Georgia,04,,0,,,,Party Votes:,R,10260.0,,,,,,,,,,0,
GA,Georgia,04,,0,,,,District Votes:,,54769.0,,,,290739.0,,,,,,0,
GA,Georgia,05,,0,,,,Party Votes:,D,47313.0,,,,,,,,,,0,
GA,Georgia,05,,0,,,,Party Votes:,R,3635.0,,,,,,,,,,0,
GA,Georgia,05,,0,,,,District Votes:,,50948.0,,,,300549.0,,,,,,0,
GA,Georgia,06,,0,,,,Party Votes:,R,32021.0,,,,,,,,,,0,
GA,Georgia,06,,0,,,,Party Votes:,D,11050.0,,,,,,,,,,0,
GA,Georgia,06,,0,,,,District Votes:,,43071.0,,,,326005.0,,,,,,0,
GA,Georgia,07,,0,,,,Party Votes:,R,24201.0,,,,,,,,,,0,
GA,Georgia,07,,0,,,,Party Votes:,D,5593.0,,,,,,,,,,0,
GA,Georgia,07,,0,,,,District Votes:,,29794.0,,,,288301.0,,,,,,0,
GA,Georgia,08,,0,,,,Party Votes:,R,44907.0,,,,,,,,,,0,
GA,Georgia,08,,0,,,,Party Votes:,D,18647.0,,,,,,,,,,0,
GA,Georgia,08,,0,,,,District Votes:,,63554.0,,,,257208.0,,,,,,0,
GA,Georgia,09,,0,,,,Party Votes:,R,84995.0,,,,,,,,,,0,
GA,Georgia,09,,0,,,,District Votes:,,84995.0,,,,256535.0,,,,,,0,
GA,Georgia,10,,0,,,,Party Votes:,R,49062.0,,,,,,,,,,0,
GA,Georgia,10,,0,,,,District Votes:,,49062.0,,,,244611.0,,,,,,0,
GA,Georgia,11,,0,,,,Party Votes:,R,49611.0,,,,,,,,,,0,
GA,Georgia,11,,0,,,,Party Votes:,D,6861.0,,,,,,,,,,0,
GA,Georgia,11,,0,,,,District Votes:,,56472.0,,,,323318.0,,,,,,0,
GA,Georgia,12,,0,,,,Party Votes:,R,59127.0,,,,,,,,,,0,
GA,Georgia,12,,0,,,,Party Votes:,D,25925.0,,,,,,,,,,0,
GA,Georgia,12,,0,,,,District Votes:,,85052.0,,,,258912.0,,,,,,0,
GA,Georgia,13,,0,,,,Party Votes:,D,36214.0,,,,,,,,,,0,
GA,Georgia,13,,0,,,,District Votes:,,36214.0,,,,252833.0,,,,,,0,
GA,Georgia,14,,0,,,,Party Votes:,R,58508.0,,,,,,,,,,0,
GA,Georgia,14,,0,,,,District Votes:,,58508.0,,,,216953.0,,,,,,0,
GA,Georgia,H,,0,,,,Total State Votes:,,793290.0,,42334.0,,3772862.0,,,,,,0,
GU,Guam,00,,0,,,,Party Votes:,D,12834.0,,,,,,,,,,0,
GU,Guam,00,,0,,,,Party Votes:,R,7727.0,,,,,,,,,,0,
GU,Guam,00,,0,,,,Party Votes:,IP,4.0,,,,,,,,,,0,
GU,Guam,00,,0,,,,District Votes:,,20565.0,,,,34168.0,,,,,,0,
GU,Guam,H,,0,,,,Total State Votes:,,20565.0,,,,34168.0,,,,,,0,
